"filename", "language", "C", "C++", "comment", "blank", "total"
"f:\Project\NetworkAccess\DistanceCal.c", "C", -24, 0, -9, -1, -34
"f:\Project\NetworkAccess\DistanceCal.h", "C++", 0, -3, 0, 0, -3
"f:\Project\NetworkAccess\LinkMerge.c", "C", -15, 0, 0, -3, -18
"f:\Project\NetworkAccess\LinkMerge.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\NodeTrans.c", "C", -3, 0, 0, -1, -4
"f:\Project\NetworkAccess\NodeTrans.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\PrintRouting.c", "C", -55, 0, -9, -4, -68
"f:\Project\NetworkAccess\PrintRouting.h", "C++", 0, -5, 0, -1, -6
"f:\Project\NetworkAccess\RenewLink.c", "C", -15, 0, 0, -1, -16
"f:\Project\NetworkAccess\RenewLink.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\SetBHeader.c", "C", -18, 0, -1, -2, -21
"f:\Project\NetworkAccess\SetBHeader.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\SetMember.c", "C", -4, 0, 0, -2, -6
"f:\Project\NetworkAccess\SetMember.h", "C++", 0, -1, 0, -1, -2
"f:\Project\NetworkAccess\SetRouting.c", "C", -63, 0, -8, -6, -77
"f:\Project\NetworkAccess\SetRouting.h", "C++", 0, -3, 0, -2, -5
"f:\Project\NetworkAccess\WeightCal.c", "C", -24, 0, -8, -3, -35
"f:\Project\NetworkAccess\WeightCal.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\initial_double.c", "C", -12, 0, 0, -1, -13
"f:\Project\NetworkAccess\initial_double.h", "C++", 0, -2, 0, 0, -2
"f:\Project\NetworkAccess\initial_int.c", "C", -12, 0, -1, -1, -14
"f:\Project\NetworkAccess\initial_int.h", "C", -2, 0, 0, 0, -2
"f:\Project\NetworkAccess\main_function.c", "C", -51, 0, -147, -28, -226
"f:\Project\NetworkAccess\struct.h", "C++", 0, -14, -3, -5, -22
"f:\Project\packet\changeType.c", "C", 37, 0, 0, 7, 44
"f:\Project\packet\changeType.h", "C++", 0, 4, 0, 3, 7
"f:\Project\packet\receiveFrame.c", "C", 194, 0, 3, 26, 223
"f:\Project\packet\receiveFrame.h", "C++", 0, 41, 5, 5, 51
"f:\Project\packet\receivePacket.c", "C", 47, 0, 0, 2, 49
"f:\Project\packet\receivePacket.h", "C++", 0, 6, 0, 3, 9
"f:\Project\packet\sendFrame.c", "C", 0, 0, 0, 1, 1
"f:\Project\packet\sendFrame.h", "C++", 0, 0, 0, 1, 1
"f:\Project\packet\sendPacket.c", "C", 48, 0, 0, 1, 49
"f:\Project\packet\sendPacket.h", "C++", 0, 6, 0, 3, 9
"Total", "-", 28, 19, -178, -10, -141
